address,name,lat,lng,visit,category,sub_category
서울특별시 종로구 지봉로 86,숭인1동주민센터,37.5777954,127.0156168,0,화장실,공중화장실
서울 종로구 종로65길 10,숭인2동주민센터,37.5748355,127.0199463,0,화장실,공중화장실
서울 종로구종로26(서린동 99),SK본사,37.5696511,126.9802912,0,화장실,개방화장실
서울 종로구세종대로 163(세종로 178),현대해상빌딩,37.5709136,126.976141,0,화장실,개방화장실
서울 종로구청계천로41(서린동 33),영풍빌딩,37.5696304,126.9821706,0,화장실,개방화장실
서울 종로구종로94(종로2가 56-23),버거킹(종로점),37.5698999,126.988059,0,화장실,개방화장실
서울 종로구대학로120(동숭동 1-27),KFC대학로점,37.5818372,127.0022796,0,화장실,개방화장실
서울 종로구청계천로71(관철동 32-7),계원빌딩,37.5687507,126.9854891,0,화장실,개방화장실
서울 종로구청계천로 295(창신1동 436-79),동대문 신발상가 A동,37.5700268,127.0103578,0,화장실,개방화장실
서울 종로구창경궁로 88(예지동 6-1),광장시장 1층 청과부,37.5700023,126.9989023,0,화장실,개방화장실
서울 종로구창경궁로 88(예지동 6-1),광장시장 3층 동관부,37.5700023,126.9989023,0,화장실,개방화장실
서울 종로구창경궁로 88(예지동 6-1),광장시장 3층 별관포목부,37.5700023,126.9989023,0,화장실,개방화장실
서울 종로구창경궁로 88(예지동 6-1),광장시장 3층 광장직물부,37.5700023,126.9989023,0,화장실,개방화장실
서울 종로구청계천로195-7(예지동 257-1),광장골목시장 수도직물(3층),37.5694855,126.9991627,0,화장실,개방화장실
서울 종로구종로266(종로6가 270-3),종합시장D동상가 본관지하1층,37.5703736,127.007341,0,화장실,개방화장실
서울 종로구종로266(종로6가 270-3),종합시장D동상가 본관지상3층,37.5703736,127.007341,0,화장실,개방화장실
서울 종로구인사동길 29(관훈동 197-4),인창빌딩,37.5732046,126.985714,0,화장실,개방화장실
서울 종로구새문안로38(신문로2가 12-5),신문로빌딩,37.5683495,126.9697567,0,화장실,개방화장실
서울 종로구율곡로190(연지동 1-1),여전도회관,37.5756023,126.9997545,0,화장실,개방화장실
서울 종로구사직로8길 34(내수동 72),경희궁의 아침 3단지,37.5738017,126.9724392,0,화장실,개방화장실
서울 종로구종로115(종로3가 10-1),맥도날드(종로3가),37.570358,126.9908398,0,화장실,개방화장실
서울 종로구대학로130(동숭동 1-34),맥도날드(대학로),37.5828493,127.0020997,0,화장실,개방화장실
서울 종로구삼봉로57(수송동 68-1),버거킹(수송동점),37.5725241,126.9804569,0,화장실,개방화장실
서울 종로구종로38길 16(종로5가 225-21),신진시장(만남의 장소),37.5701794,127.0049267,0,화장실,개방화장실
서울 종로구새문안로17(평동 166),4.19도서관,37.5673015,126.9676804,0,화장실,개방화장실
서울 종로구인사동11길 8(관훈동 182-2),한국공예문화진흥원,37.5739994,126.9841489,0,화장실,개방화장실
서울 종로구삼일대로457(경운동 88),수운회관,37.5752153,126.9857682,0,화장실,개방화장실
서울 종로구삼일대로451(경운동 70),라이온스 빌딩,37.57468,126.986594,0,화장실,개방화장실
서울 종로구인사동5길 25(인사동 194-4),하나로빌딩,37.5720602,126.9853831,0,화장실,개방화장실
서울 종로구종로194-7(종로4가 158),"광장시장(합동,화창빌딩)",37.5710873,126.9994469,0,화장실,개방화장실
서울 종로구대학로10길 17(동숭동1-67),대학로예술극장,37.5820564,127.0031655,0,화장실,개방화장실
서울 종로구대학로122(동숭동 1-28),흥사단,37.5821413,127.0022291,0,화장실,개방화장실
서울 종로구창경궁로109(인의동112-2),세운스퀘어(테크노관1층),37.5717942,126.9970659,0,화장실,개방화장실
서울 종로구창경궁로109(인의동112-2),세운스퀘어(라이프관1층),37.5717942,126.9970659,0,화장실,개방화장실
서울 종로구창경궁로109(인의동112-2),세운스퀘어(주얼리관),37.5717942,126.9970659,0,화장실,개방화장실
서울 종로구계동길81(계동74-1),계동교회,37.5809687,126.9866344,0,화장실,개방화장실
서울 종로구삼일대로428(낙원동284-6),허리우드극장(낙원상가4층),37.5725341,126.9877902,0,화장실,개방화장실
서울 종로구인사동길44(관훈동 38),쌈지길(지하1층),37.5742797,126.9852069,0,화장실,개방화장실
서울 종로구인사동길44(관훈동 38),"쌈지길(지상1,2층)",37.5742797,126.9852069,0,화장실,개방화장실
서울 종로구인사동11길 6(관훈동184),토포하우스,37.5740594,126.9843167,0,화장실,개방화장실
서울 종로구혜화동 163-24,동양예술극장,37.5845208,127.0023151,0,화장실,개방화장실
서울 종로구북촌로12길17(가회동 11-103),색실문양누비공방,37.5820903,126.9856716,0,화장실,개방화장실
서울 종로구북촌로12길10(가회동11-7),동립매듭박물관,37.5817446,126.9856027,0,화장실,개방화장실
서울 종로구새문안로5길 13(당주동 160),변호사회관,37.5716242,126.9752811,0,화장실,개방화장실
서울 종로구청계천로 229(종로5가 314-7),한일빌딩,37.5700947,127.0030102,0,화장실,개방화장실
서울 종로구낙산성곽동길 26(창신2동 640-243),성터교회,37.5748583,127.0093011,0,화장실,개방화장실
서울 종로구종로266(종로6가 270-3),동대문종합시장 D동상가 2층,37.5703736,127.007341,0,화장실,개방화장실
서울 종로구대학로101(연건동 28-21),서울대학교 외래암센터내,37.5792598,126.9983979,0,화장실,개방화장실
서울 종로구종로33(청진동 119-1),월드그랑서울,37.5707152,126.9816476,0,화장실,개방화장실
서울 종로구청계천로279(종로6가 289-3),JW 매리어트 호텔,37.5704151,127.0089513,0,화장실,개방화장실
서울 종로구율곡로 45,맥도날드(안국점),37.5762691,126.9843569,0,화장실,개방화장실
서울 종로구창경궁로 273,롯데리아 혜화점,37.585738,127.0006028,0,화장실,개방화장실
서울 종로구청계천로 383,숭인빌딩,37.5718207,127.0197424,0,화장실,개방화장실
서울 종로구인사동길 34-1,㈜인사아트프라자,37.5737858,126.9856087,0,화장실,개방화장실
서울 종로구북촌로12길 20-6(가회동),한옥협동조합,37.5820874,126.9860656,0,화장실,개방화장실
서울 종로구윤보선길 57(안국동),안동교회,37.5783446,126.9831479,0,화장실,개방화장실
서울 종로구대명길 28(명륜2가),CGV 대학로점 2F,37.5834006,126.9998403,0,화장실,개방화장실
서울 종로구계동6길 12,목공예공방,37.5827482,126.9872681,0,화장실,개방화장실
서울 종로구자하문로 42-1,아빠곰탕,37.5798444,126.9715603,0,화장실,개방화장실
서울 종로구창덕궁5길 4,북촌단청공방,37.5829925,126.9892812,0,화장실,개방화장실
서울 종로구율곡로19길 71-1,이화동한복(김영희 한복대여),37.5772424,127.0070403,0,화장실,개방화장실
서울 종로구평창문화로 87(평창동),파크팰리스,37.6099403,126.9730658,0,화장실,개방화장실
서울 종로구낙산성곽서1길 19,이화동 마을박물관,37.5778454,127.0079267,0,화장실,개방화장실
서울 종로구홍지문2길 16,GS25 상명대점,37.601669,126.9556249,0,화장실,개방화장실
서울 종로구종로 68(종로2가),롯데리아 종각역점,37.569857,126.9849443,0,화장실,개방화장실
서울 종로구가회동 11-39,북촌발효공방(빚담),37.5822725,126.9854868,0,화장실,개방화장실
서울 종로구종로17길45,경동빌딩(스타이발관),37.5722007,126.9881094,0,화장실,개방화장실
서울 종로구내수동 71,경희궁의아침 2단지,37.5737103,126.9712666,0,화장실,개방화장실
서울 종로구인사동길 35-4,인사동마루 신관,37.5735144,126.9848505,0,화장실,개방화장실
서울 종로구인사동길 35-6,인사동마루 본관,37.5733231,126.9851328,0,화장실,개방화장실
서울 종로구원서동 38,홍염장 공방,37.5832449,126.9892891,0,화장실,개방화장실
서울 종로구재동 33,북촌 책방,37.5789135,126.9842361,0,화장실,개방화장실
서울 종로구가회동 31-69,직물놀이공방,37.5822357,126.9840415,0,화장실,개방화장실
서울 종로구새문안로3길 23,경희궁의아침 4단지(생활지원센터),37.5722444,126.9722071,0,화장실,개방화장실
서울 종로구이화장길 36-2,베드로빌딩,37.5767152,127.0045714,0,화장실,개방화장실
서울 종로구 송월길 52,서울자유시민대학 화장실,37.5706348,126.9663812,0,화장실,공중화장실
서울 종로구 체부동 188외2,서울생활문화센터 체부,37.5766716,126.9715202,0,화장실,공중화장실
서울 종로구 신문로2가 7-22,돈의문박물관마을 마을안내소,37.5687865,126.9685111,0,화장실,공중화장실
서울 종로구세종대로175,세종문화회관 화장실,37.5721241,126.9760848,0,화장실,공중화장실
서울 종로구종로53길12-1,백남준기념관,37.5730106,127.0137485,0,화장실,공중화장실
