name,address,lat,lng,category,mid_category,sub_category,search,rating,reviews
남산산책로,서울 용산구,37.5506357,126.9988642,관광지,기타관광,기타관광,194,5,1
허수아비소극장,서울 종로구 성균관로3길 20-4,37.5833189,126.9970075,관광지,문화관광,공연시설,193,0,0
갤러리너트,서울 종로구 윤보선길 27-0,37.577209,126.9837407,관광지,문화관광,전시시설,192,5,1
학동어린이공원,서울 강남구 언주로116길 27-0,37.5116297,127.0387639,관광지,문화관광,도시공원,192,0,0
부경미트,서울 성동구 마장로33길 67-0,37.5711402,127.0404391,관광지,쇼핑,시장,192,0,0
라센느아트홀,서울 영등포구 당산로44길 3-0,37.5318517,126.901043,관광지,문화관광,공연시설,192,0,0
불교중앙박물관,서울 종로구 우정국로 55-0,37.5737854,126.9818967,관광지,문화관광,전시시설,191,3,2
체터키즈,서울 강남구 압구정로36길 8-0,37.527911,127.0313041,관광지,문화관광,테마공원,191,0,0
셔우드코리아,서울 송파구 동남로23길 51-0,37.5040507,127.1340317,관광지,레저스포츠,수상레저스포츠,191,0,0
레이블갤러리,서울 성동구 성수이로26길 31-0,37.5456994,127.0609674,관광지,문화관광,전시시설,190,3.5,2
스페이스신선,서울 용산구 이태원로 256-0,37.5373388,127.0012547,관광지,문화관광,전시시설,190,5,1
관악산관음사방면,서울 관악구 승방1길 0-0,37.4716532,126.9803206,관광지,자연관광,자연경관(산),190,0,0
로컬스티치,서울 마포구 잔다리로 70-0,37.5539373,126.916982,관광지,문화관광,기타문화관광지,190,0,0
화양동느티나무,서울 광진구,37.5464834,127.0718221,관광지,역사관광,역사유적지,190,5,4
밀알미술관,서울 강남구 일원로 90-0,37.4859112,127.0821906,관광지,문화관광,전시시설,189,5,2
명달공원,서울 서초구 서운로23길 17-0,37.4990115,127.0211135,관광지,문화관광,도시공원,188,4.7,3
영동교골목시장,서울 광진구 동일로10길 30-0,37.53797,127.0633184,관광지,쇼핑,시장,188,4.5,2
더킹연습실,서울 서초구 도구로 83-0,37.4839114,126.986348,관광지,문화관광,공연시설,188,1,1
양화수상스키장,서울 영등포구 노들로 111-0,37.5456291,126.889842,관광지,레저스포츠,수상레저스포츠,188,1,1
하이트컬렉션,서울 강남구 영동대로 714-0,37.5216088,127.0567522,관광지,문화관광,전시시설,188,0,0
닥터방방,서울 동작구 동작대로29길 69-0,37.4884033,126.9781039,관광지,문화관광,테마공원,188,0,0
우성미트인터내셔널,서울 성동구 무학로14길 23-0,37.5680962,127.0326868,관광지,쇼핑,시장,188,0,0
광불사,서울 강동구 진황도로68길 66-0,37.5234813,127.1448182,관광지,역사관광,종교성지,187,2.5,2
LG디스커버리랩서울 (2022년11월개관예정),서울 강서구 마곡중앙로 136-0,37.6007592,126.8729009,관광지,문화관광,전시시설,187,0,0
휴암문화공원,서울 마포구 월드컵북로 0-0,37.5697271,126.9029931,관광지,문화관광,도시공원,186,5,1
아이스탑,서울 강남구 삼성로71길 14-0,37.5021608,127.0576948,관광지,레저스포츠,육상레저스포츠,186,0,0
청정사서울포교당,서울 서초구 신흥안길 40-51,37.4533381,127.0768855,관광지,역사관광,종교성지,186,0,0
희수갤러리,서울 종로구 인사동길 11-3,37.571929,126.9866799,관광지,문화관광,전시시설,186,0,0
금천청소년수련관,서울 금천구,37.4518527,126.9020358,관광지,레저스포츠,육상레저스포츠,186,0,0
서울아트책보고,서울 구로구 경인로 430-0,37.4984887,126.8601539,관광지,문화관광,기타문화관광지,185,5,1
무중력지대성북,서울 성북구 아리랑로 50-0,37.5980785,127.0145949,관광지,문화관광,기타문화관광지,185,0,0
팡타개라지,서울 종로구 경희궁1가길 7-0,37.5720343,126.9689848,관광지,문화관광,공연시설,185,0,0
글샘공원,서울 송파구 법원로 0-0,37.5145437,127.1065971,관광지,문화관광,도시공원,184,4.2,6
수락정,서울 노원구 덕릉로145길 99-0,37.6838446,127.0854407,관광지,레저스포츠,육상레저스포츠,184,5,3
성북예술창작터,서울 성북구 성북로 23-0,37.5900106,127.0041102,관광지,문화관광,전시시설,184,0,0
평창양계,서울 송파구 동남로20길 51-0,37.493859,127.1368793,관광지,쇼핑,시장,184,0,0
타이니앨리스극장,서울 종로구 대학로11길 23-0,37.5820241,127.0004101,관광지,문화관광,공연시설,184,0,0
백석어린이공원,서울 강서구 공항대로57길 31-0,37.5527498,126.8625384,관광지,문화관광,도시공원,183,1,1
두손갤러리,서울 중구 덕수궁길 130-0,37.5678981,126.9738946,관광지,문화관광,전시시설,183,5,1
남산예장공원,서울 중구,37.5608233,126.988593,관광지,문화관광,도시공원,182,4.2,13
갤러리현대,서울 종로구 삼청로 8-0,37.5766059,126.9798454,관광지,문화관광,전시시설,181,3.3,3
위아트갤러리강남점,서울 서초구 남부순환로 2311-1,37.4764985,127.0040424,관광지,문화관광,전시시설,181,0,0
잉어킹낚시카페연신내점,서울 은평구 연서로26길 8-0,37.6168271,126.9203045,관광지,레저스포츠,수상레저스포츠,180,4.8,6
삼일공원,서울 동작구 사당로23길 57-7,37.4862768,126.9739412,관광지,문화관광,도시공원,180,4.4,5
바라아트홀,서울 강남구 논현로161길 20-0,37.5236591,127.0265001,관광지,문화관광,공연시설,180,0,0
지스페이스홀,서울 마포구 포은로 14-0,37.5493807,126.9093389,관광지,문화관광,공연시설,180,0,0
이화익갤러리,서울 종로구 율곡로3길 67-0,37.5785302,126.9819985,관광지,문화관광,전시시설,180,0,0
쥬트아뜰리에북촌,서울 종로구 팔판길 6-0,37.5820644,126.9806744,관광지,문화관광,기타문화관광지,180,0,0
쌀롱드무지끄,서울 종로구 창의문로 129-0,37.5923345,126.9659838,관광지,문화관광,공연시설,179,5,1
한국윈드서핑교육원,서울 광진구 강변북로 2326-0,37.5322881,127.0817341,관광지,레저스포츠,수상레저스포츠,179,0,0
JTBC PLAY,서울 마포구 와우산로 86-0,37.5519743,126.9237216,관광지,문화관광,기타문화관광지,179,0,0
P21,서울 용산구 회나무로 74-0,37.5403679,126.9947464,관광지,문화관광,전시시설,179,0,0
삼성목련공원,서울 강남구,36.6435183,127.5455237,관광지,문화관광,도시공원,179,0,0
가양동문화공원,서울 강서구,37.5622172,126.8362251,관광지,문화관광,도시공원,179,0,0
바탕골공원,서울 강서구 강서로45다길 74-0,37.5445438,126.8347119,관광지,문화관광,도시공원,178,0,0
리홀뮤직갤러리,서울 성북구 성북로31길 9-0,37.5945466,126.990451,관광지,문화관광,기타문화관광지,177,4.6,21
감탄사,서울 강동구 진황도로23길 20-5,37.5400216,127.1304701,관광지,역사관광,종교성지,177,0,0
보륜정사,서울 노원구 중계로8길 40-0,37.6462429,127.0844027,관광지,역사관광,종교성지,177,0,0
필갤러리,서울 용산구 유엔빌리지길 24-0,37.533545,127.0097664,관광지,문화관광,전시시설,177,0,0
현통사,서울 종로구 세검정로6나길 53-0,37.601726,126.9647542,관광지,역사관광,종교성지,176,3,1
용산랜드홀,서울 용산구 청파로 74-0,37.5328642,126.9596117,관광지,문화관광,공연시설,176,0,0
전법회관,서울 종로구 우정국로 67-0,37.5750101,126.9824461,관광지,역사관광,종교성지,176,0,0
하이윈드윈드서핑클럽,서울 광진구 뚝섬로54길 0-0,37.5299395,127.0802619,관광지,레저스포츠,수상레저스포츠,175,5,3
덕의근린공원,서울 구로구 중앙로15길 72-0,37.5074571,126.8547438,관광지,문화관광,도시공원,175,5,2
손기정기념관,서울 중구 손기정로 101-0,37.5556652,126.9645497,관광지,문화관광,전시시설,175,5,2
올림픽예술극장,서울 송파구 올림픽로 424-0,37.5217853,127.1165203,관광지,문화관광,공연시설,175,5,1
불광사,서울 은평구 진흥로19길 30-2,37.6132054,126.9391295,관광지,역사관광,종교성지,175,3,1
두남재아트센터,서울 강남구 언주로93길 10-0,37.5040554,127.0409704,관광지,문화관광,전시시설,175,0,0
진상제작소,서울 종로구 이화장길 70-8,37.5782086,127.0050384,관광지,문화관광,공연시설,175,0,0
문수원,서울 종로구 비봉1길 18-13,37.6114155,126.9558408,관광지,역사관광,종교성지,175,0,0
본다빈치뮤지엄,서울 광진구 광나루로 441-0,37.5465004,127.0788059,관광지,문화관광,전시시설,174,4,2
바라캇서울,서울 종로구 삼청로 58-4,37.5808251,126.9806392,관광지,문화관광,전시시설,173,4,4
화계사대웅전,서울 강북구 화계사길 117-0,37.6326445,127.0073066,관광지,역사관광,역사유적지,173,3,2
아트앤초이스,서울 용산구 이태원로45길 37-0,37.5366371,126.9974442,관광지,문화관광,전시시설,173,5,1
헬로방방자양점,서울 광진구 뚝섬로35길 23-0,37.5358354,127.0705063,관광지,문화관광,테마공원,173,0,0
MBC WORLD,서울 마포구 성암로 267-0,37.5740931,126.9035854,관광지,문화관광,전시시설,173,0,0
조계사국화향기나눔전,서울 종로구 우정국로 55-0,37.5737854,126.9818967,관광지,문화관광,기타문화관광지,173,0,0
애플합주실,서울 종로구 창경궁로 231-0,37.5826147,126.9980212,관광지,문화관광,기타문화관광지,172,3.7,3
남성역골목시장,서울 동작구 사당로16가길 19-0,37.4829504,126.9723144,관광지,쇼핑,시장,172,3.5,2
명주근린공원,서울 서초구 잠원로14길 0-0,37.5179181,127.0149909,관광지,문화관광,도시공원,172,4.5,2
오유아트홀,서울 강남구 남부순환로378길 34-9,37.4836763,127.0464243,관광지,문화관광,공연시설,172,0,0
프레리주니어길동점,서울 강동구 천호대로 1195-0,37.538274,127.14567,관광지,문화관광,테마공원,172,0,0
공생선원,서울 도봉구 도봉로 575-0,37.6563598,127.0387723,관광지,역사관광,종교성지,172,0,0
나리공원,서울 서초구 신반포로 45-0,37.5033106,126.9896744,관광지,문화관광,도시공원,172,0,0
쌀섬어린이공원,서울 송파구 백제고분로18길 20-36,37.5039174,127.0822417,관광지,문화관광,도시공원,172,0,0
연신내어시장,서울 은평구 통일로 883-0,37.6217534,126.9194619,관광지,쇼핑,시장,171,2.8,4
한국광고박물관,서울 송파구 올림픽로35길 137-0,37.5213517,127.1026097,관광지,문화관광,전시시설,171,4,1
강남문화재단,서울 강남구 선릉로 668-0,37.5163592,127.0420799,관광지,문화관광,기타문화관광지,171,0,0
대성사,서울 성북구 서경로20길 38-0,37.6133088,127.0144341,관광지,역사관광,종교성지,171,0,0
예송미술관,서울 송파구 백제고분로 242-0,37.502219,127.0933383,관광지,문화관광,전시시설,171,0,0
자양스테이션,서울 광진구 자양로11길 18-0,37.5345879,127.0830088,관광지,문화관광,공연시설,170,0,0
석가사,서울 노원구 덕릉로139길 71-0,37.676281,127.0822619,관광지,역사관광,종교성지,170,0,0
약수암,서울 동작구 양녕로 153-9,37.4948802,126.9414875,관광지,역사관광,종교성지,170,0,0
과일은김수환본점,서울 서대문구 가재울로 8-0,37.5736995,126.9226731,관광지,쇼핑,시장,170,0,0
아트스페이스호서,서울 서초구 반포대로 9-0,37.4813541,127.0122884,관광지,문화관광,전시시설,170,0,0
할머니영양탕흑염소탕,서울 강동구 양재대로 1496-0,37.539102,127.1408537,관광지,쇼핑,시장,169,5,2
관악정,서울 관악구 약수암길 43-2,37.4593527,126.9329214,관광지,레저스포츠,육상레저스포츠,169,5,1
아츠스테이신림점,서울 관악구 호암로24길 17-0,37.4699102,126.9342485,관광지,문화관광,기타문화관광지,169,0,0
홍이공원,서울 송파구 송이로17길 48-0,37.5011628,127.1247401,관광지,문화관광,도시공원,169,0,0
